lon,lat,UMONAT,UKATEGORIE,cluster
13.307913090000001,52.48845277999999,12,3,-1
13.37669957,52.50827478999999,12,3,-1
13.17922829,52.54864203,12,3,-1
13.40872126,52.52639286,12,3,-1
13.444034630000003,52.533839029999996,12,2,-1
13.32854151,52.464907919999995,12,3,-1
13.20053294,52.53665496,12,3,-1
13.47948842,52.555888249999995,12,2,-1
13.4865488,52.5520336,12,3,-1
13.5301684,52.49432263,12,3,-1
13.33468927,52.417265459999996,11,3,-1
13.54559048,52.43699986,12,3,-1
13.3876178,52.533376309999994,12,3,-1
13.496147300000002,52.500216730000005,12,2,-1
13.38720431,52.52653175999999,12,3,-1
13.48328963,52.50047682999999,12,3,-1
13.43649048,52.548465009999994,12,3,-1
13.3413303,52.50519316,12,3,-1
13.464404410000002,52.50991558999999,12,3,-1
13.384280380000002,52.4958187,12,3,-1
13.4077683,52.48889641,12,3,-1
13.36349874,52.47828798999999,12,3,-1
13.35770887,52.50115514000001,12,3,-1
13.36139663,52.50012696,12,3,-1
13.481389620000002,52.460808189999995,12,3,-1
13.43294346,52.51806404,12,3,-1
13.47440847,52.50448,12,3,-1
13.4587347,52.52048014,12,3,-1
13.3935253,52.51233654000001,12,3,-1
13.423495060000002,52.54316132999999,12,3,-1
13.55827873,52.553991360000005,12,3,-1
13.323141890000002,52.49109312,12,3,-1
13.42486148,52.502025249999996,12,3,-1
13.320674700000001,52.50187329999999,12,3,-1
13.37351766,52.45552642,12,3,-1
13.42028321,52.54841869,12,3,-1
13.25779733,52.43461526999999,12,3,-1
13.35797064,52.51696876,12,3,-1
13.6244641,52.45051062999999,12,3,-1
13.32009451,52.471651009999995,12,3,-1
13.334792880000002,52.499412119999995,12,3,-1
13.44116839,52.51819032,12,3,-1
13.405618630000001,52.514159559999996,12,3,-1
13.50158734,52.54896429,12,3,-1
13.59604549,52.44376719,12,3,-1
13.43791625,52.44837392000001,12,3,-1
13.40665644,52.554062529999996,12,3,-1
13.14369614,52.39756849,12,3,-1
13.40314693,52.528997139999994,12,3,-1
13.276248170000002,52.51461337999999,12,3,-1
13.58568851,52.529120979999995,12,3,-1
13.30832325,52.49636543999999,12,3,-1
13.35664123,52.53566567,12,3,-1
13.205449050000002,52.53950931999999,12,3,-1
13.57170627,52.4378023,12,3,-1
13.43115172,52.48460068,12,3,-1
13.317830070000001,52.47389583999999,11,3,-1
13.47604856,52.54911976,12,3,-1
13.35763943,52.48668165999999,12,3,-1
13.50270483,52.47009671000001,12,3,-1
13.38066213,52.532494369999995,12,3,-1
13.35158885,52.527020459999996,12,3,-1
13.38149942,52.515093109999995,12,3,-1
13.4186537,52.568805489999995,12,3,-1
13.33412993,52.55724691,12,3,-1
13.4019915,52.52364536000001,12,3,-1
13.38408398,52.49521874999999,12,3,-1
13.31558307,52.443305739999985,12,3,-1
13.4037139,52.50823998,12,3,-1
13.40061328,52.54107529,12,3,-1
